timestamp,portfolio_result,portfolio_http,portfolio_time,ha_result,ha_http,ha_time,quneva_result,quneva_http,quneva_time,ai_result,ai_http,ai_time,qstatus_result,qstatus_http,qstatus_time,finance_result,finance_http,finance_time
2026-08-04T07:19:38Z,up,200,0.145409,up,200,0.699937,up,200,0.121622,up,200,0.113932,up,200,0.122378,up,200,0.187283
2026-08-04T10:04:30Z,up,200,0.208474,up,200,0.705709,up,200,0.218678,up,200,0.263224,up,200,0.338510,up,200,0.286105
2026-08-04T12:13:26Z,up,200,0.210630,up,200,0.779462,up,200,0.324636,up,200,0.216199,up,200,0.183293,up,200,0.375800
2026-08-04T14:44:49Z,up,200,0.079784,up,200,0.529537,up,200,0.143828,up,200,0.157960,up,200,0.099376,up,200,0.151927
2026-08-04T16:43:07Z,up,200,0.103166,up,200,0.594993,up,200,0.141599,up,200,0.174375,up,200,0.091797,up,200,0.147044
2026-08-04T18:19:42Z,up,200,0.109371,up,200,0.697884,up,200,0.083625,up,200,0.090495,up,200,0.104962,up,200,0.145839
2026-08-04T20:03:31Z,up,200,0.161684,up,200,0.493917,up,200,0.114434,up,200,0.183900,up,200,0.115878,up,200,0.188424
2026-08-04T21:23:17Z,up,200,0.245336,up,200,0.814830,up,200,0.194175,up,200,0.306470,up,200,0.284404,up,200,0.255294
2026-08-04T22:39:28Z,up,200,0.104383,up,200,0.533289,up,200,0.107021,up,200,0.168175,up,200,0.242590,up,200,0.159265
2026-08-04T23:47:08Z,up,200,0.341487,up,200,0.802354,up,200,0.260218,up,200,0.236649,up,200,0.403617,up,200,0.183825
2026-08-05T01:09:37Z,up,200,0.146680,up,200,0.586529,up,200,0.210398,up,200,0.222000,up,200,0.190957,up,200,0.132492
2026-08-05T04:32:17Z,up,200,0.112835,up,200,0.827114,up,200,0.660319,up,200,0.097330,up,200,0.102394,up,200,0.288557
2026-08-05T07:19:42Z,up,200,0.117140,up,200,0.626561,up,200,0.080545,up,200,0.115294,up,200,0.092112,up,200,0.226364
2026-08-05T10:02:00Z,up,200,0.216731,up,200,0.831829,up,200,0.099039,up,200,0.095716,up,200,0.075995,up,200,0.094967
2026-08-05T12:07:50Z,up,200,0.171673,up,200,0.558921,up,200,0.076621,up,200,0.164230,up,200,0.133957,up,200,0.110520
2026-08-05T14:39:37Z,up,200,0.235702,up,200,0.557644,up,200,0.254526,up,200,0.235267,up,200,0.318116,up,200,0.240851
2026-08-05T16:23:12Z,up,200,0.109666,up,200,0.599226,up,200,0.113068,up,200,0.119402,up,200,0.102310,up,200,0.119204
2026-08-05T18:08:03Z,up,200,0.224440,up,200,0.603154,up,200,0.231383,up,200,0.212442,up,200,0.161003,up,200,0.228809
2026-08-05T19:59:04Z,up,200,0.223219,up,200,0.866767,up,200,0.233319,up,200,0.189807,up,200,0.114264,up,200,0.439274
2026-08-05T21:21:43Z,up,200,0.238166,up,200,0.664108,up,200,0.157290,up,200,0.302528,up,200,0.129134,up,200,0.323861
2026-08-05T22:32:35Z,up,200,0.144572,up,200,0.494382,up,200,0.203940,up,200,0.170171,up,200,0.190875,up,200,0.243674
2026-08-05T23:32:29Z,up,200,0.098770,up,200,0.651042,up,200,0.082313,up,200,0.142330,up,200,0.312866,up,200,0.109260
2026-08-06T00:58:38Z,up,200,0.177055,up,200,0.563133,up,200,0.178452,up,200,0.166873,up,200,0.157344,up,200,0.150628
2026-08-06T04:23:21Z,up,200,0.229688,up,200,0.536779,up,200,0.134413,up,200,0.215516,up,200,0.379852,up,200,0.155366
2026-08-06T07:21:34Z,up,200,0.233954,up,200,0.678308,up,200,0.121878,up,200,0.238410,up,200,0.339348,up,200,0.316611
2026-08-06T10:05:03Z,up,200,0.259971,down,0,0,up,200,0.124607,up,200,0.250685,up,200,0.190410,up,200,0.141581
2026-08-06T12:15:14Z,up,200,0.098304,up,200,0.536703,up,200,0.128074,up,200,0.180923,up,200,0.202833,up,200,0.159408
2026-08-06T14:39:29Z,up,200,0.186104,up,200,0.604387,up,200,0.099484,up,200,0.102357,up,200,0.126418,up,200,0.093717
2026-08-06T20:35:24Z,up,200,0.238181,up,200,0.703057,up,200,0.180151,up,200,0.250538,up,200,0.296190,up,200,0.433206
